raceId,weather,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy
217,"Sunny, Dry Track, 27°C",0,0,1,0,0
218,"Wet, then drying out with temperatures reaching up to 28 °C (82 °F)[2]",0,0,0,0,0
219,Dry with temperatures reaching up to 29 °C (84 °F)[1],0,0,1,0,0
220,Sunny,1,0,0,0,0
221,"Partially cloudy, mild and dry",1,0,1,0,0
222,Sunny[3],0,0,0,0,0
223,Sunny with temperatures reaching up to 25 °C (77 °F)[3],1,0,0,0,0
224,Dry with temperatures reaching up to 23 °C (73 °F)[1],0,0,1,0,0
225,"Thunderstorm, then drying with temperatures reaching up to 24 °C (75 °F)[1]",0,0,0,0,0
226,Dry with temperatures reaching up to 21 °C (70 °F)[1],0,0,1,0,0
227,"Cloudy, but dry",0,0,1,0,0
228,Sunny,1,0,0,0,0
229,"Overcast, mild, wet at first, drying later, light rain at finish",0,0,0,1,0
230,Rain,0,0,0,1,0
231,Mostly sunny and warm with temperatures approaching 26 °C (79 °F)[1],1,0,0,0,0
232,Dry,0,0,1,0,0
233,Warm and sunny with temperatures reaching up to 25 °C (77 °F)[1],1,0,0,0,0
234,"Sunny, dry",0,0,1,0,0
235,Sunny with temperatures reaching up to 27 °C (81 °F)[2],1,0,0,0,0
236,Overcast and dry with temperatures reaching up to 17 °C (63 °F)[2],0,0,1,0,1
237,Dry,0,0,1,0,0
238,Mostly sunny with ambient temperatures reaching 25 °C during the day.,1,0,0,0,0
239,"Sunny, mild and dry",1,0,1,0,0
240,Overcast,0,0,0,0,1
241,Cloudy,0,0,0,0,1
242,"Heavy rain before the start, before brightening up",0,0,0,1,0
243,Sunny,1,0,0,0,0
244,"Warm, sunny",1,0,0,0,0
245,"Cloudy at start, sunny later with temperatures reaching up to 24.3 °C (75.7 °F)Wind speeds up to 8 km/h (5.0 mph)[1]",1,0,0,0,1
246,"Cloudy, light drizzle at times",0,0,0,0,0
247,"Warm, cloudy, windy",0,0,0,0,0
248,"Sunny, 28 °C (82 °F)",0,0,0,0,0
249,Sunny,1,0,0,0,0
250,"Cloudy, then heavy rain",0,0,0,1,0
251,Sunny,1,0,0,0,0
252,Sunny,1,0,0,0,0
253,"Rain, later dried out, air temperature 11 °C (52 °F)",0,0,0,0,0
254,"Cloudy, dry",0,0,1,0,0
255,"Rain, later dried out",0,0,0,0,0
256,Sunny[2],0,0,0,0,0
257,Sunny,1,0,0,0,0
258,Sunny,1,0,0,0,0
259,Sunny,1,0,0,0,0
260,Sunny,1,0,0,0,0
261,Sunny,1,0,0,0,0
262,Temperatures approaching 26.3 °C (79.3 °F);Wind speeds up to 21 km/h (13 mph)[1],0,0,0,0,0
263,Sunny,1,0,0,0,0
264,Sunny,1,0,0,0,0
265,Sunny,1,0,0,0,0
266,Sunny,1,0,0,0,0
267,Sunny,1,0,0,0,0
268,Sunny,1,0,0,0,0
269,Sunny,1,0,0,0,0
270,Sunny,1,0,0,0,0
271,"Heavy rain, followed by light showers",0,0,0,1,0
272,Sunny with clouds,1,0,0,0,1
273,"Very hot and humid, with torrential thunderstorms. Air temp: 33 °C (91 °F)",1,0,0,0,0
274,Dry first then torrential rain for a short period; later drying and staying dry for the rest of the race,0,0,1,1,0
275,"Very cold, rain with dry spells",0,0,1,1,0
276,"Wet at start, dry later",0,0,1,1,0
277,Sunny,1,0,0,0,0
278,"Partly cloudy, mild, dry",0,0,1,0,0
279,Temperatures reaching up to 29.0 °C (84.2 °F);Wind speeds up to 18.3 km/h (11.4 mph)[1],0,0,0,0,0
280,,0,0,0,0,0
281,Dry,0,0,1,0,0
282,Dry,0,0,1,0,0
283,,0,0,0,0,0
284,Sunny and clear,1,0,0,0,0
285,Hot and sunny,1,0,0,0,0
286,"Dry, sunny, windy",0,0,0,0,0
287,"Dry/wet, warm, cloudy",0,0,0,0,1
288,Sunny,1,0,0,0,0
289,"Hot, dry and dull",0,0,1,0,0
290,Scattered Clouds27 °C (81 °F)[1],0,0,0,0,0
291,Dry,0,0,1,0,0
292,"Dry at start, wet later",0,0,1,1,0
293,Sunny,1,0,0,0,0
294,Dry,0,0,1,0,0
295,Dry with temperatures reaching up to 25 °C (77 °F);Wind speeds up to 14 km/h (8.7 mph)[1],0,0,1,0,0
296,"Dry, then raining",0,0,0,0,0
297,Dry,0,0,1,0,0
298,Dry,0,0,1,0,0
299,Dry,0,0,1,0,0
300,"Overcast, brief rain mid-race",0,0,0,1,0
301,Sunny and warm,1,0,0,0,0
302,"Dry, sunny, windy",0,0,0,0,0
303,"Dry, warm, cloudy",0,0,0,0,1
304,Cloudy,0,0,0,0,1
305,Overcast25 °C (77 °F)[1],0,0,0,0,0
306,"Cloudy at start, rainy later. Ambient temperature: 29.4°C (85°F).Humidity: 95%.Wind speed: 33.7 km/h (21 mph).",0,0,0,1,1
307,"Wet at start, dry by finish",0,0,1,1,0
308,"Cloudy, mild, dry",0,0,1,0,0
309,Mild with temperatures approaching 25 °C (77 °F);Wind speeds up to 12 km/h (7.5 mph)[1],1,0,0,0,0
310,Mostly Cloudy24 °C (75 °F)[1],0,0,0,0,0
311,,0,0,0,0,0
312,"Hot, dry, sunny",1,0,0,0,0
313,Hot and sunny,1,0,0,0,0
314,"Hot dry, sunny",1,0,0,0,0
315,,0,0,0,0,0
316,Sunny and warm,1,0,0,0,0
317,Sunny and warm,1,0,0,0,0
318,"Warm and overcast, drying",1,0,0,0,0
319,"Sunny, warm",1,0,0,0,0
320,Torrential rain,0,0,0,1,0
321,Cloudy and cool with temperatures reaching up to 18 °C (64 °F)[1],0,1,0,0,1
322,"Hot, dry, sunny",1,0,0,0,0
323,"Warm, dry, sunny",1,0,0,0,0
324,"Warm, dry, sunny",1,0,0,0,0
325,Warm and cloudy with temperatures approaching 19.8 °C (67.6 °F); wind speeds up to 27.8 kilometres per hour (17.3 mph)[1],1,0,0,0,1
326,Overcast21 °C (70 °F)[1],0,0,0,0,0
327,"Hot, dry, sunny",1,0,0,0,0
328,"Hot, dry, sunny",1,0,0,0,0
329,"Hot, dry, sunny",1,0,0,0,0
330,Dry,0,0,1,0,0
331,Dry,0,0,1,0,0
332,"Hot, dry, sunny",1,0,0,0,0
333,,0,0,0,0,0
334,"Dry, hot, sunny",1,0,0,0,0
335,Sunny,1,0,0,0,0
